Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.847998304005088, 0.32982091628272336, -0.4148699068225112, -0.5000000000000001], [0.0, 0.7827749746443304, 0.6223048602337666, 0.7499999999999999], [0.5299989400031799, -0.5277134660523575, 0.663791850916018, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9999999403953594, -0.0002778693300534171, 0.00010995145190338174, 0.002537811986804073], [0.0002802105887930714, 0.9997601509011312, -0.021899729588727136, -0.026919678036101402], [-0.0001038398151116582, 0.02189976014782987, 0.9997601509177119, -0.017673467048152557], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9991423487546698, 0.041319589793999266, -0.002688320203842967, 6.907340980667848e-05], [-0.04120797318188424, 0.9986003637421631, 0.03315356000330835, 1.1447030168794412], [0.004054449182776364, -0.03301434592339608, 0.9994466304786157, -0.01714063835461514], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9991826414418143, 0.0403314701027728, -0.0027316488284480182, -0.00019459308875674508], [-0.04021599677134985, 0.9986164570480541, 0.033879432756576504, 1.1446677310603597], [0.004094276953874865, -0.03374188400420191, 0.9994221925756993, -0.0175513840693735], [0.0, 0.0, 0.0, 1.0]]","[[0.590133786201477, -0.7348233461380005, -0.33433011174201965, -0.20408013463020325], [0.2965007424354553, 0.5824690461158752, -0.7568466663360596, 0.8455932140350342], [0.7508856058120728, 0.34751155972480774, 0.5616104006767273, -0.19075603783130646], [0.0, 0.0, 0.0, 1.0]]","[[0.6185315847396851, 0.7856144905090332, 0.015114961192011833, 0.15683497488498688], [-0.25605159997940063, 0.2197067141532898, -0.941364049911499, 0.8560642004013062], [-0.7428702116012573, 0.5783931016921997, 0.33705344796180725, -0.21911738812923431], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9992055892321544, 0.03977993717431144, -0.002390880526792261, 0.0002537293831023097], [-0.03967670509577677, 0.998641908282282, 0.033764702833498916, 1.1449787176117199], [0.003730791231799873, -0.03364301695743666, 0.9994269608941848, -0.01791646455491756], [0.0, 0.0, 0.0, 1.0]]","[[0.590133786201477, -0.7348233461380005, -0.33433011174201965, -0.20408013463020325], [0.2965007424354553, 0.5824690461158752, -0.7568466663360596, 0.8455932140350342], [0.7508856058120728, 0.34751155972480774, 0.5616104006767273, -0.19075603783130646], [0.0, 0.0, 0.0, 1.0]]","[[0.6185315847396851, 0.7856144905090332, 0.015114961192011833, 0.15683497488498688], [-0.25605159997940063, 0.2197067141532898, -0.941364049911499, 0.8560642004013062], [-0.7428702116012573, 0.5783931016921997, 0.33705344796180725, -0.21911738812923431], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9992055892321544, 0.03977993717431144, -0.002390880526792261, 0.0002537293831023097], [-0.03967670509577677, 0.998641908282282, 0.033764702833498916, 1.1449787176117199], [0.003730791231799873, -0.03364301695743666, 0.9994269608941848, -0.01791646455491756], [0.0, 0.0, 0.0, 1.0]]","[[0.5893181562423706, -0.7351067662239075, -0.3351447582244873, -0.20419450104236603], [0.29784709215164185, 0.5833002924919128, -0.7556770443916321, 0.8452081084251404], [0.7509933710098267, 0.3455122411251068, 0.5626989006996155, -0.190599724650383], [0.0, 0.0, 0.0, 1.0]]","[[0.6182206273078918, 0.7858375906944275, 0.01620042510330677, 0.15690754354000092], [-0.2532642185688019, 0.21867097914218903, -0.9423587322235107, 0.8555207252502441], [-0.74408358335495, 0.5784825682640076, 0.334211528301239, -0.21941699087619781], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9992055892321544, 0.03977993717431144, -0.002390880526792261, 0.0002537293831023097], [-0.03967670509577677, 0.998641908282282, 0.033764702833498916, 1.1449787176117199], [0.003730791231799873, -0.03364301695743666, 0.9994269608941848, -0.01791646455491756], [0.0, 0.0, 0.0, 1.0]]","[[0.5904684066772461, -0.7341261506080627, -0.3352694511413574, -0.20425772666931152], [0.29780885577201843, 0.5842982530593872, -0.7549206614494324, 0.8448464870452881], [0.7501044869422913, 0.3459104895591736, 0.5636390447616577, -0.19060355424880981], [0.0, 0.0, 0.0, 1.0]]","[[0.6180200576782227, 0.7859877943992615, 0.016560561954975128, 0.15683682262897491], [-0.2536262273788452, 0.21927602589130402, -0.9421206712722778, 0.8554927110671997], [-0.7441268563270569, 0.5780491828918457, 0.33486419916152954, -0.21931517124176025], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9992039799557633, 0.03987239267993363, -0.0012773690861385065, -2.237727808513353e-05], [-0.03980657491516677, 0.9986365437407834, 0.03377200594211127, 1.1449544626721546], [0.0026221980923120183, -0.03369427541231606, 0.9994287491077626, -0.018392587616993285], [0.0, 0.0, 0.0, 1.0]]","[[0.5904684066772461, -0.7341261506080627, -0.3352694511413574, -0.20425772666931152], [0.29780885577201843, 0.5842982530593872, -0.7549206614494324, 0.8448464870452881], [0.7501044869422913, 0.3459104895591736, 0.5636390447616577, -0.19060355424880981], [0.0, 0.0, 0.0, 1.0]]","[[0.6180200576782227, 0.7859877943992615, 0.016560561954975128, 0.15683682262897491], [-0.2536262273788452, 0.21927602589130402, -0.9421206712722778, 0.8554927110671997], [-0.7441268563270569, 0.5780491828918457, 0.33486419916152954, -0.21931517124176025], [0.0, 0.0, 0.0, 1.0]]"
