Head Pose,Left Arm Pose,Right Arm Pose
"[[0.9994304180705972, 0.033682668385809876, -0.002074189137004125, -0.0019858553240630346], [-0.03318264541237931, 0.9920626875139053, 0.12128706028016058, 1.583642998952247], [0.0061429975300209645, -0.12114915500132603, 0.9926152828388257, -0.015282829818179876], [0.0, 0.0, 0.0, 1.0]]","[[0.6784780621528625, -0.7158797979354858, -0.16487455368041992, -0.23585161566734314], [0.6241861581802368, 0.6801241636276245, -0.38447725772857666, 1.2840174436569214], [0.3873746693134308, 0.15794698894023895, 0.9082915782928467, -0.21153856813907623], [0.0, 0.0, 0.0, 1.0]]","[[0.5009406208992004, 0.861646831035614, -0.08138330280780792, 0.14498130977153778], [-0.47326013445854187, 0.19398033618927002, -0.8593000173568726, 1.2675153017044067], [-0.724626362323761, 0.4689737856388092, 0.5049557089805603, -0.19243371486663818], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994332194642033, 0.03360359463338733, -0.0019954977287301215, -0.0014316979680454238], [-0.03311007004733204, 0.9919925330896756, 0.12187914480322909, 1.583564256392184], [0.006075096203913414, -0.12174400012141162, 0.9925429225825031, -0.015493643725225693], [0.0, 0.0, 0.0, 1.0]]","[[0.6784780621528625, -0.7158797979354858, -0.16487455368041992, -0.23585161566734314], [0.6241861581802368, 0.6801241636276245, -0.38447725772857666, 1.2840174436569214], [0.3873746693134308, 0.15794698894023895, 0.9082915782928467, -0.21153856813907623], [0.0, 0.0, 0.0, 1.0]]","[[0.5009406208992004, 0.861646831035614, -0.08138330280780792, 0.14498130977153778], [-0.47326013445854187, 0.19398033618927002, -0.8593000173568726, 1.2675153017044067], [-0.724626362323761, 0.4689737856388092, 0.5049557089805603, -0.19243371486663818], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994269013315137, 0.03380035956066004, -0.0018549277809710813, -0.001387798357020659], [-0.03331852357227457, 0.9919043781067302, 0.12253786008668956, 1.58365402567873], [0.005981735033981351, -0.12240582574294992, 0.9924620984378139, -0.015670272246068047], [0.0, 0.0, 0.0, 1.0]]","[[0.6596249341964722, -0.7367333173751831, -0.14872406423091888, -0.23715567588806152], [0.6519381999969482, 0.6593134999275208, -0.3745426833629608, 1.2826447486877441], [0.3739938735961914, 0.1500987708568573, 0.9152042865753174, -0.21154530346393585], [0.0, 0.0, 0.0, 1.0]]","[[0.5027208924293518, 0.8606118559837341, -0.08135557174682617, 0.14555367827415466], [-0.47542262077331543, 0.1966540515422821, -0.8574965000152588, 1.2665072679519653], [-0.7219728827476501, 0.46975964307785034, 0.5080165863037109, -0.19274888932704926], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994155764880815, 0.03415621902247406, -0.0013735487723014349, -0.001116133270397582], [-0.03372250412205718, 0.9917109011983674, 0.12398504439649403, 1.5836240007783962], [0.005597023513052707, -0.12386626031341733, 0.9922831654872212, -0.016056669660678962], [0.0, 0.0, 0.0, 1.0]]","[[0.6596249341964722, -0.7367333173751831, -0.14872406423091888, -0.23715567588806152], [0.6519381999969482, 0.6593134999275208, -0.3745426833629608, 1.2826447486877441], [0.3739938735961914, 0.1500987708568573, 0.9152042865753174, -0.21154530346393585], [0.0, 0.0, 0.0, 1.0]]","[[0.5027208924293518, 0.8606118559837341, -0.08135557174682617, 0.14555367827415466], [-0.47542262077331543, 0.1966540515422821, -0.8574965000152588, 1.2665072679519653], [-0.7219728827476501, 0.46975964307785034, 0.5080165863037109, -0.19274888932704926], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9994155764880815, 0.03415621902247406, -0.0013735487723014349, -0.001116133270397582], [-0.03372250412205718, 0.9917109011983674, 0.12398504439649403, 1.5836240007783962], [0.005597023513052707, -0.12386626031341733, 0.9922831654872212, -0.016056669660678962], [0.0, 0.0, 0.0, 1.0]]","[[0.6539077162742615, -0.7409437894821167, -0.1529935896396637, -0.23778773844242096], [0.6537050604820251, 0.6551291942596436, -0.37878137826919556, 1.2817513942718506], [0.3808862864971161, 0.14767535030841827, 0.9127527475357056, -0.21173050999641418], [0.0, 0.0, 0.0, 1.0]]","[[0.5023356676101685, 0.8607809543609619, -0.08194509148597717, 0.14584562182426453], [-0.47726184129714966, 0.1969934105873108, -0.8563963174819946, 1.2659555673599243], [-0.7210270166397095, 0.46930763125419617, 0.5097747445106506, -0.19294683635234833], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993936419490108, 0.03479845079392511, -0.0012077033867833522, -0.0010068048391130976], [-0.03437646475821419, 0.9916014674476846, 0.12467885268973738, 1.5834991407321573], [0.005536191270336757, -0.12456173198176002, 0.9921964403807126, -0.01635472841832799], [0.0, 0.0, 0.0, 1.0]]","[[0.6539077162742615, -0.7409437894821167, -0.1529935896396637, -0.23778773844242096], [0.6537050604820251, 0.6551291942596436, -0.37878137826919556, 1.2817513942718506], [0.3808862864971161, 0.14767535030841827, 0.9127527475357056, -0.21173050999641418], [0.0, 0.0, 0.0, 1.0]]","[[0.5023356676101685, 0.8607809543609619, -0.08194509148597717, 0.14584562182426453], [-0.47726184129714966, 0.1969934105873108, -0.8563963174819946, 1.2659555673599243], [-0.7210270166397095, 0.46930763125419617, 0.5097747445106506, -0.19294683635234833], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993795156745003, 0.03520932496754364, -0.000956187363378138, -0.0009820953998567552], [-0.034810236829836826, 0.991464077958184, 0.1256474370673441, 1.5834457743418868], [0.005371986840721786, -0.12553619196860583, 0.9920744900348863, -0.016496489540598402], [0.0, 0.0, 0.0, 1.0]]","[[0.6539077162742615, -0.7409437894821167, -0.1529935896396637, -0.23778773844242096], [0.6537050604820251, 0.6551291942596436, -0.37878137826919556, 1.2817513942718506], [0.3808862864971161, 0.14767535030841827, 0.9127527475357056, -0.21173050999641418], [0.0, 0.0, 0.0, 1.0]]","[[0.5023356676101685, 0.8607809543609619, -0.08194509148597717, 0.14584562182426453], [-0.47726184129714966, 0.1969934105873108, -0.8563963174819946, 1.2659555673599243], [-0.7210270166397095, 0.46930763125419617, 0.5097747445106506, -0.19294683635234833], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993744492175604, 0.035363673109781946, -0.0003621919647867858, -0.00091480578551794], [-0.0350337001790879, 0.9913452861106272, 0.12651961809526324, 1.5833737320278365], [0.004833255599105444, -0.12642778688539638, 0.9919640424829472, -0.016811643183400088], [0.0, 0.0, 0.0, 1.0]]","[[0.6539077162742615, -0.7409437894821167, -0.1529935896396637, -0.23778773844242096], [0.6537050604820251, 0.6551291942596436, -0.37878137826919556, 1.2817513942718506], [0.3808862864971161, 0.14767535030841827, 0.9127527475357056, -0.21173050999641418], [0.0, 0.0, 0.0, 1.0]]","[[0.5023356676101685, 0.8607809543609619, -0.08194509148597717, 0.14584562182426453], [-0.47726184129714966, 0.1969934105873108, -0.8563963174819946, 1.2659555673599243], [-0.7210270166397095, 0.46930763125419617, 0.5097747445106506, -0.19294683635234833], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993847012412912, 0.035074095904493736, 0.00021403769905451063, -0.0008909714546098958], [-0.034818422317838285, 0.9913262722390764, 0.12672757900430623, 1.5832901457254047], [0.004232674221287075, -0.12665705584810316, 0.9919375183777994, -0.017028227898854217], [0.0, 0.0, 0.0, 1.0]]","[[0.6558860540390015, -0.7383325695991516, -0.15709321200847626, -0.2376086562871933], [0.6511447429656982, 0.6586608290672302, -0.3770626485347748, 1.280202865600586], [0.3818688690662384, 0.14501963555812836, 0.9127680063247681, -0.21224291622638702], [0.0, 0.0, 0.0, 1.0]]","[[0.4978117346763611, 0.8636518120765686, -0.07930232584476471, 0.1462983340024948], [-0.47525081038475037, 0.1951589733362198, -0.8579332232475281, 1.2653605937957764], [-0.7254791259765625, 0.4647776484489441, 0.5076037645339966, -0.19387035071849823], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9993872642828137, 0.03499984454730885, 0.00031298221954237414, -0.000821953481654845], [-0.03475839186092482, 0.9913619748283854, 0.12646477778380563, 1.5832178920960442], [0.004115968656764373, -0.12639816741520724, 0.9919710763459327, -0.017205802761191942], [0.0, 0.0, 0.0, 1.0]]","[[0.6558860540390015, -0.7383325695991516, -0.15709321200847626, -0.2376086562871933], [0.6511447429656982, 0.6586608290672302, -0.3770626485347748, 1.280202865600586], [0.3818688690662384, 0.14501963555812836, 0.9127680063247681, -0.21224291622638702], [0.0, 0.0, 0.0, 1.0]]","[[0.4978117346763611, 0.8636518120765686, -0.07930232584476471, 0.1462983340024948], [-0.47525081038475037, 0.1951589733362198, -0.8579332232475281, 1.2653605937957764], [-0.7254791259765625, 0.4647776484489441, 0.5076037645339966, -0.19387035071849823], [0.0, 0.0, 0.0, 1.0]]"
