Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.847998304005088, 0.32982091628272336, -0.4148699068225112, -0.5000000000000001], [0.0, 0.7827749746443304, 0.6223048602337666, 0.7499999999999999], [0.5299989400031799, -0.5277134660523575, 0.663791850916018, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9996989369558545, 0.02452151172647075, 0.0008245147814247709, -0.0034558061958702125], [-0.02449448152592585, 0.9955300687583963, 0.09121370207215808, 1.562121754039758], [0.0014158685275558326, -0.09120643992279509, 0.9958310128250573, -0.01166682623739141], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9996734261577395, 0.025528624909161694, 0.0011554460981330356, -0.0035244044318334736], [-0.02552703742480357, 0.995462119938313, 0.09167050967202915, 1.5621070539717155], [0.001190019236824519, -0.09167006214870697, 0.9957887526672016, -0.011643023155265157], [0.0, 0.0, 0.0, 1.0]]","[[0.5032271146774292, -0.8615067005157471, -0.06759089976549149, -0.2363845556974411], [0.4193679988384247, 0.3118530213832855, -0.852571427822113, 1.266357421875], [0.7555745244026184, 0.40069156885147095, 0.5182213187217712, -0.2150822877883911], [0.0, 0.0, 0.0, 1.0]]","[[-0.292671263217926, 0.9523858428001404, -0.08546353876590729, 0.12644265592098236], [-0.7871719002723694, -0.2907096743583679, -0.5439187288284302, 1.2415382862091064], [-0.5428657531738281, -0.091915063560009, 0.834774374961853, -0.21224726736545563], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9996730089148855, 0.025545975045201764, 0.0011405251753501316, -0.003603450443057957], [-0.025543997212412378, 0.9955419300601895, 0.09079507582342419, 1.562082904417763], [0.0011840081606976434, -0.09079452015006753, 0.9958689214220562, -0.011585486609580805], [0.0, 0.0, 0.0, 1.0]]","[[0.5028557181358337, -0.8616778254508972, -0.06817101687192917, -0.23624150454998016], [0.4183559715747833, 0.3116392195224762, -0.8531465530395508, 1.2666057348251343], [0.7563823461532593, 0.40048980712890625, 0.5171977281570435, -0.21503794193267822], [0.0, 0.0, 0.0, 1.0]]","[[-0.2884898781776428, 0.9535222053527832, -0.08699455857276917, 0.1263885498046875], [-0.78959721326828, -0.2883135974407196, -0.5416738986968994, 1.2417137622833252], [-0.5415800213813782, -0.08757700026035309, 0.8360748887062073, -0.212088942527771], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9997215867166015, 0.023567997450215667, -0.0011340605383192294, -0.003851375261619468], [-0.02335593237520951, 0.9952657819162456, 0.09434279106542523, 1.5615139631201458], [0.003352162213119389, -0.09429003991201464, 0.9955391287309753, -0.011108484603074755], [0.0, 0.0, 0.0, 1.0]]","[[0.49845531582832336, -0.8639510869979858, -0.07162866741418839, -0.23548871278762817], [0.41285592317581177, 0.309224009513855, -0.8566973209381104, 1.2674469947814941], [0.7622939944267273, 0.3974529206752777, 0.5108218193054199, -0.2159130573272705], [0.0, 0.0, 0.0, 1.0]]","[[-0.295380175113678, 0.9514390826225281, -0.0866825208067894, 0.1266472488641739], [-0.785800576210022, -0.29355284571647644, -0.5443747043609619, 1.241020679473877], [-0.54338538646698, -0.09268241375684738, 0.8343514204025269, -0.2127673476934433], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999773800358976, 0.021045417808597845, -0.0030817634867574724, -0.0039037864755787333], [-0.020662686503822067, 0.9953573346836652, 0.09400444537328119, 1.5615301335995049], [0.005045818772718715, -0.09391950011326436, 0.9955670236983482, -0.010469822938627346], [0.0, 0.0, 0.0, 1.0]]","[[0.45658770203590393, -0.8844680786132812, -0.09614481031894684, -0.23485881090164185], [0.44281622767448425, 0.3196549117565155, -0.8376958966255188, 1.268256664276123], [0.7716485261917114, 0.33990713953971863, 0.5376073718070984, -0.2144920974969864], [0.0, 0.0, 0.0, 1.0]]","[[-0.08949553966522217, 0.9940208196640015, -0.06255249679088593, 0.1287337690591812], [-0.7789357304573059, -0.1089927926659584, -0.6175591349601746, 1.2429007291793823], [-0.6206845045089722, -0.006544513162225485, 0.7840330600738525, -0.21318195760250092], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999806344505003, 0.01922494897825362, -0.004204885049535498, -0.0043871490128978416], [-0.018729852715305077, 0.9951592681307116, 0.09647380299996045, 1.561222873036045], [0.006039234397189162, -0.09637636206914268, 0.9953266384745959, -0.008553026098116881], [0.0, 0.0, 0.0, 1.0]]","[[0.4467450678348541, -0.8830426931381226, -0.14371605217456818, -0.23481182754039764], [0.4343492090702057, 0.35450974106788635, -0.8280479311943054, 1.2707605361938477], [0.7821505069732666, 0.30750328302383423, 0.5419244766235352, -0.2155589610338211], [0.0, 0.0, 0.0, 1.0]]","[[0.2602918744087219, 0.964301586151123, 0.04868779331445694, 0.1366443932056427], [-0.5731584429740906, 0.1948981136083603, -0.7959296703338623, 1.250881552696228], [-0.7770054340362549, 0.17926819622516632, 0.603428065776825, -0.21867240965366364], [0.0, 0.0, 0.0, 1.0]]"
"[[0.999843895430412, 0.0162659079662678, -0.006902821777277692, -0.005207431036728647], [-0.01549602142654685, 0.9948840736559487, 0.09982749736861701, 1.5605642643229962], [0.008491292646265521, -0.0997049444262553, 0.9949808121562718, -0.00646140314091086], [0.0, 0.0, 0.0, 1.0]]","[[0.4926014840602875, -0.8418728113174438, -0.2204405814409256, -0.23391135036945343], [0.39310184121131897, 0.44124603271484375, -0.8067049980163574, 1.2814245223999023], [0.7764114737510681, 0.3107285499572754, 0.5483001470565796, -0.21827450394630432], [0.0, 0.0, 0.0, 1.0]]","[[0.4374668598175049, 0.8820487260818481, 0.1749647557735443, 0.15051613748073578], [-0.39315566420555115, 0.36259913444519043, -0.8449558615684509, 1.2666120529174805], [-0.8087343573570251, 0.3008517324924469, 0.5054076313972473, -0.23024149239063263], [0.0, 0.0, 0.0, 1.0]]"
