Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9999999403953567, -0.0002778674307375954, 0.0001099135242980208, 0.002740436760622743], [0.00028020786059985026, 0.9997601509012511, -0.02189974263261572, -0.0038945998171074827], [-0.000103801934514637, 0.021899773180973386, 0.9997601509175952, 0.021636983792552442], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9977411032703971, 0.06308037215533659, 0.023099647379317318, 0.03878690425676404], [-0.06285051083502366, 0.9979672430844216, -0.01054595960148785, 1.54701490175975], [-0.023717934721312495, 0.00907031269899395, 0.9996775388832911, -0.16446599735059478], [0.0, 0.0, 0.0, 1.0]]","[[0.21018987894058228, -0.9692329168319702, 0.1280927211046219, -0.24510958790779114], [0.5280956625938416, 0.22281897068023682, 0.8194307088851929, 0.7917505502700806], [-0.8227607011795044, -0.10459081083536148, 0.5586820244789124, -0.07862801849842072], [0.0, 0.0, 0.0, 1.0]]","[[0.5198733806610107, 0.8476281762123108, 0.10610491782426834, 0.15456876158714294], [-0.1923927664756775, 0.2371971607208252, -0.9522199034690857, 1.1913726329803467], [-0.8322961330413818, 0.4746200144290924, 0.28638994693756104, -0.3136765658855438], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9977411032703971, 0.06308037215533659, 0.023099647379317318, 0.03878690425676404], [-0.06285051083502366, 0.9979672430844216, -0.01054595960148785, 1.54701490175975], [-0.023717934721312495, 0.00907031269899395, 0.9996775388832911, -0.16446599735059478], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.997925520008967, 0.057970606443859804, 0.028000581119394918, 0.04085593768014351], [-0.05759810590984656, 0.9982426166175307, -0.013932208695010733, 1.558268668100103], [-0.028759031515383136, 0.012290526017053537, 0.9995108246507932, -0.15928180438513634], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9980866908225037, 0.05190621966910577, 0.03359677551080785, 0.043184152626876735], [-0.05141680409717351, 0.9985604882782181, -0.015271599775756498, 1.5659013669497537], [-0.034341105243662996, 0.013514941186999183, 0.9993187785399519, -0.15365606709393836], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.998186647823148, 0.04554097651735829, 0.03936265321761054, 0.04600804711291867], [-0.04496673197253659, 0.998870492010288, -0.015353279713877784, 1.570811157484007], [-0.04001739708394133, 0.013555429350248248, 0.9991070032525772, -0.14751521833588382], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9982022047664862, 0.03906662198882271, 0.04545447585701716, 0.04923123512672175], [-0.038495672911594746, 0.9991693495957115, -0.01336946307169287, 1.5748166840677196], [-0.04593901725888478, 0.011595627605449283, 0.9988769292951359, -0.141453537463215], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9981710911158514, 0.03751844707443955, 0.047400988101558815, 0.05031944480706684], [-0.03693862464711428, 0.9992323517148254, -0.013049882630040815, 1.5760306127696422], [-0.04785421171824442, 0.011275088621148902, 0.9987906813903293, -0.1395508041141129], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9980689286085457, 0.03342058769167096, 0.05235936727307022, 0.052617777569448715], [-0.032862012472742494, 0.9993938208032048, -0.011493179302714688, 1.5791287651615964], [-0.05271173778989137, 0.009750351022876871, 0.9985621572230906, -0.1335755941992454], [0.0, 0.0, 0.0, 1.0]]","[[0.1867770552635193, -0.9669803977012634, 0.17338773608207703, -0.25431185960769653], [0.3781192898750305, 0.2336573451757431, 0.8957846164703369, 0.7962798476219177], [-0.906719446182251, -0.10175076127052307, 0.40927577018737793, -0.054454952478408813], [0.0, 0.0, 0.0, 1.0]]","[[0.5134772062301636, 0.8534142374992371, 0.08958517760038376, 0.15074843168258667], [-0.22438502311706543, 0.2343016415834427, -0.945914626121521, 1.213818073272705], [-0.8282467722892761, 0.46560418605804443, 0.3118017911911011, -0.30854588747024536], [0.0, 0.0, 0.0, 1.0]]"
