Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[-0.8556425036115951, 0.0027453916177894, 0.5175596576045824, -0.6939967483291061], [-0.03851363044537562, 0.9968757620885353, -0.06895961282284332, 1.3236106110814172], [-0.5161319870639969, -0.0789379063483966, -0.8528635449649996, -0.6249620613332164], [0.0, 0.0, 0.0, 1.0]]","[[0.5016108751296997, 0.8372369408607483, 0.2177625298500061, -0.6864896416664124], [0.4131777286529541, -0.010704610496759415, -0.9105871319770813, 1.0234754085540771], [-0.7600463032722473, 0.5467349290847778, -0.35129714012145996, -0.3537765145301819], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[-0.8613414129243834, 0.036715425491266857, 0.5066977672896055, -0.6944536123442498], [-0.0011640199794696643, 0.9972398276325206, -0.0742389134325349, 1.3237796539756876], [-0.5080248779931394, -0.06453487805945125, -0.8589212342279472, -0.6276736793121469], [0.0, 0.0, 0.0, 1.0]]","[[0.050416480749845505, 0.7958434820175171, 0.6033996939659119, -0.6354159712791443], [0.40727904438972473, 0.5352660417556763, -0.7400094270706177, 1.0195282697677612], [-0.9119110703468323, 0.2830606997013092, -0.2971441447734833, -0.3386249244213104], [0.0, 0.0, 0.0, 1.0]]","[[-0.8554914593696594, -0.5142951011657715, 0.06028454750776291, -0.9554776549339294], [-0.3140939176082611, 0.4228329658508301, -0.8500335812568665, 1.0275928974151611], [0.41167786717414856, -0.7461317777633667, -0.5232667922973633, -0.5142087340354919], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8454058725383753, 0.021867473471912913, 0.5336764390039592, -0.7011411566238253], [-0.004389655172827928, 0.9988433717902075, -0.04788148261921813, 1.322061916321678], [-0.5341062014531939, -0.04282194889766771, -0.8443321031369322, -0.6220166839785385], [0.0, 0.0, 0.0, 1.0]]","[[-0.005300475284457207, 0.8570418357849121, 0.51521897315979, -0.6396492123603821], [0.33864521980285645, 0.4863215386867523, -0.8054876923561096, 1.0358737707138062], [-0.9408988356590271, 0.17020675539970398, -0.2928107678890228, -0.31997424364089966], [0.0, 0.0, 0.0, 1.0]]","[[0.4176131784915924, -0.885470449924469, 0.2038165032863617, -0.9284436106681824], [-0.6150595545768738, -0.44059237837791443, -0.6538957953453064, 1.1077991724014282], [0.6688055396080017, 0.14771614968776703, -0.7286142110824585, -0.4939744174480438], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8691250678022241, 0.011035272101044586, 0.4944690757382394, -0.696982525663374], [-0.016266086319565637, 0.9985724686239922, -0.05087634689199037, 1.3226439585926262], [-0.4943246549975394, -0.052260993504652464, -0.8677048688357781, -0.6125634909691995], [0.0, 0.0, 0.0, 1.0]]","[[-0.07570748776197433, 0.8652920126914978, 0.49551787972450256, -0.6297170519828796], [0.28976568579673767, 0.4945901036262512, -0.8194000124931335, 1.0450359582901], [-0.9540985822677612, 0.08154931664466858, -0.2881760895252228, -0.3153837323188782], [0.0, 0.0, 0.0, 1.0]]","[[-0.7781912088394165, -0.6185933351516724, 0.10844346135854721, -0.9134234189987183], [-0.25250372290611267, 0.150077223777771, -0.9558861255645752, 1.0842955112457275], [0.5750300288200378, -0.7712449431419373, -0.2729856073856354, -0.4799236059188843], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8691250678022241, 0.011035272101044586, 0.4944690757382394, -0.696982525663374], [-0.016266086319565637, 0.9985724686239922, -0.05087634689199037, 1.3226439585926262], [-0.4943246549975394, -0.052260993504652464, -0.8677048688357781, -0.6125634909691995], [0.0, 0.0, 0.0, 1.0]]","[[-0.068341463804245, 0.8663328886032104, 0.49476903676986694, -0.6317134499549866], [0.2807329595088959, 0.4925890862941742, -0.8237383365631104, 1.0457361936569214], [-0.9573494791984558, 0.0826023519039154, -0.2768723964691162, -0.3156873881816864], [0.0, 0.0, 0.0, 1.0]]","[[-0.7869648337364197, -0.6054615378379822, 0.11875031143426895, -0.9152481555938721], [-0.26417046785354614, 0.1567123979330063, -0.9516589045524597, 1.0844601392745972], [0.5575834512710571, -0.7802929282188416, -0.283271849155426, -0.4813157320022583], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8691250678022241, 0.011035272101044586, 0.4944690757382394, -0.696982525663374], [-0.016266086319565637, 0.9985724686239922, -0.05087634689199037, 1.3226439585926262], [-0.4943246549975394, -0.052260993504652464, -0.8677048688357781, -0.6125634909691995], [0.0, 0.0, 0.0, 1.0]]","[[-0.05583667382597923, 0.8678616881370544, 0.4936569929122925, -0.6356511116027832], [0.26294833421707153, 0.4897565543651581, -0.8312617540359497, 1.0461256504058838], [-0.9631922245025635, 0.08339099586009979, -0.25554898381233215, -0.31607237458229065], [0.0, 0.0, 0.0, 1.0]]","[[-0.8162652850151062, -0.5679910182952881, 0.10533953458070755, -0.9232435822486877], [-0.2506434917449951, 0.18393301963806152, -0.9504452347755432, 1.083648681640625], [0.520469069480896, -0.802218496799469, -0.2925010919570923, -0.48197120428085327], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8628428580434528, 0.024549102415239332, 0.5048756007346763, -0.6969761085251195], [-0.006225747060870651, 0.9982280133137605, -0.05917782710305841, 1.3237066010163094], [-0.5054337378349646, -0.05420440061577185, -0.8611611127812759, -0.6131399452210214], [0.0, 0.0, 0.0, 1.0]]","[[-0.04532044008374214, 0.8672242164611816, 0.49585095047950745, -0.6362307667732239], [0.27070584893226624, 0.4884504973888397, -0.8295387029647827, 1.0456719398498535], [-0.9615947008132935, 0.09663466364145279, -0.2568994462490082, -0.3156898021697998], [0.0, 0.0, 0.0, 1.0]]","[[-0.8178367018699646, -0.5650156736373901, 0.10908612608909607, -0.9252474308013916], [-0.25435012578964233, 0.18488746881484985, -0.9492746591567993, 1.083559513092041], [0.5161864757537842, -0.8040980100631714, -0.29491931200027466, -0.48199570178985596], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.8628428580434528, 0.024549102415239332, 0.5048756007346763, -0.6969761085251195], [-0.006225747060870651, 0.9982280133137605, -0.05917782710305841, 1.3237066010163094], [-0.5054337378349646, -0.05420440061577185, -0.8611611127812759, -0.6131399452210214], [0.0, 0.0, 0.0, 1.0]]","[[-0.052083272486925125, 0.8688133358955383, 0.4923921823501587, -0.6368639469146729], [0.2643478512763977, 0.4874681532382965, -0.8321626782417297, 1.045314073562622], [-0.9630196690559387, 0.08682083338499069, -0.25505778193473816, -0.3156071901321411], [0.0, 0.0, 0.0, 1.0]]","[[-0.8081210255622864, -0.5735018849372864, 0.13429595530033112, -0.9266350865364075], [-0.28197571635246277, 0.1765003651380539, -0.9430466890335083, 1.0838379859924316], [0.5171358585357666, -0.7999643683433533, -0.30434703826904297, -0.48179441690444946], [0.0, 0.0, 0.0, 1.0]]"
"[[-0.860129649948311, 0.02550702039024849, 0.5094373746933865, -0.6978821738620933], [-0.006408156453287802, 0.9981297254535615, -0.0607948342553052, 1.3238346688856528], [-0.5100352839407993, -0.05555599162069235, -0.858357493570905, -0.6132909570988324], [0.0, 0.0, 0.0, 1.0]]","[[-0.04711776226758957, 0.8668063282966614, 0.4964136481285095, -0.6368518471717834], [0.26632773876190186, 0.4898774325847626, -0.8301141858100891, 1.0449106693267822], [-0.9627301096916199, 0.09309554845094681, -0.2539364695549011, -0.31516873836517334], [0.0, 0.0, 0.0, 1.0]]","[[-0.6060284376144409, -0.7499378323554993, 0.26518407464027405, -0.9238588809967041], [-0.5035964846611023, 0.10367059707641602, -0.8576962351799011, 1.0856537818908691], [0.6157271265983582, -0.6533342003822327, -0.44049331545829773, -0.4841253459453583], [0.0, 0.0, 0.0, 1.0]]"
