Head Pose,Left Arm Pose,Right Arm Pose
"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[1.0, 0.0, 0.0, -0.5000000000000001], [0.0, 1.0, 0.0, 0.7499999999999999], [0.0, 0.0, 1.0, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.847998304005088, 0.32982091628272336, -0.4148699068225112, -0.5000000000000001], [0.0, 0.7827749746443304, 0.6223048602337666, 0.7499999999999999], [0.5299989400031799, -0.5277134660523575, 0.663791850916018, 0.8000000000000002], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9999991655349161, -0.0011402195836895327, 0.0006293263132303985, 0.0017748123772203617], [0.0011542273400804777, 0.99974107741208, -0.022725913186982864, -0.023518332007204698], [-0.0006032508253499832, 0.022726620102807283, 0.9997415542713262, -0.010731859194088547], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9999991655349922, -0.0011402184760647487, 0.0006293160865911171, 0.0017748203802235723], [0.0011542260029835034, 0.9997410774333163, -0.02272591784929368, -0.02355456801718509], [-0.0006032406211002841, 0.02272662475372222, 0.9997415542500147, -0.010798736338987359], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9998354911753282, 0.015273495267535051, -0.009783677696655694, 0.0006611187299138937], [-0.014259256732260386, 0.9952341319975889, 0.09646606631096061, 1.7766129392851548], [0.011210423954357202, -0.09631068818752116, 0.9952881930463852, -0.008892599274015884], [0.0, 0.0, 0.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[0.9998067617396241, 0.015537002288477082, -0.01204468556845761, 0.0006514114344699351], [-0.01431489160589729, 0.9953123328454367, 0.09564756332004942, 1.7767194777712947], [0.013474300828033926, -0.09545666249429308, 0.9953423741113852, -0.009396413430273455], [0.0, 0.0, 0.0, 1.0]]","[[0.5744844675064087, -0.8180703520774841, -0.026986457407474518, -0.2204163372516632], [0.6977484822273254, 0.5066933035850525, -0.5063682198524475, 1.4338428974151611], [0.42791879177093506, 0.27207088470458984, 0.861894965171814, -0.14727571606636047], [0.0, 0.0, 0.0, 1.0]]","[[0.4329521059989929, 0.8988394141197205, 0.06811711937189102, 0.13296468555927277], [-0.5876368880271912, 0.33873850107192993, -0.7348052859306335, 1.3993570804595947], [-0.6835460066795349, 0.27810728549957275, 0.6748489141464233, -0.19802899658679962], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9997992515568378, 0.015523726936376925, -0.012668990678221213, 0.0006420912577429904], [-0.014246645499073627, 0.9953442811195641, 0.09532470173604575, 1.7767654320343875], [0.014089802131920827, -0.09512507252924352, 0.9953656197365328, -0.009552783473376278], [0.0, 0.0, 0.0, 1.0]]","[[0.5744844675064087, -0.8180703520774841, -0.026986457407474518, -0.2204163372516632], [0.6977484822273254, 0.5066933035850525, -0.5063682198524475, 1.4338428974151611], [0.42791879177093506, 0.27207088470458984, 0.861894965171814, -0.14727571606636047], [0.0, 0.0, 0.0, 1.0]]","[[0.4329521059989929, 0.8988394141197205, 0.06811711937189102, 0.13296468555927277], [-0.5876368880271912, 0.33873850107192993, -0.7348052859306335, 1.3993570804595947], [-0.6835460066795349, 0.27810728549957275, 0.6748489141464233, -0.19802899658679962], [0.0, 0.0, 0.0, 1.0]]"
"[[0.9997992515568378, 0.015523726936376925, -0.012668990678221213, 0.0006420912577429904], [-0.014246645499073627, 0.9953442811195641, 0.09532470173604575, 1.7767654320343875], [0.014089802131920827, -0.09512507252924352, 0.9953656197365328, -0.009552783473376278], [0.0, 0.0, 0.0, 1.0]]","[[0.5709394812583923, -0.8203462958335876, -0.03255719318985939, -0.2207595705986023], [0.6983899474143982, 0.5061440467834473, -0.506033182144165, 1.4329484701156616], [0.4316011071205139, 0.26617664098739624, 0.8618993163108826, -0.14744257926940918], [0.0, 0.0, 0.0, 1.0]]","[[0.42897334694862366, 0.9006386399269104, 0.06951086223125458, 0.13360466063022614], [-0.5843796730041504, 0.3353703022003174, -0.7389363646507263, 1.399532437324524], [-0.6888266205787659, 0.27636322379112244, 0.6701799631118774, -0.19846194982528687], [0.0, 0.0, 0.0, 1.0]]"
